Date,Close,Open,High,Low,Volume
2020-06-08,1699.9,1682.0,1702.6,1675.8,750.0
2020-06-09,1717.0,1699.2,1724.1,1694.4,620.0
2020-06-10,1715.5,1715.1,1743.6,1709.0,1150.0
2020-06-11,1734.7,1741.2,1749.4,1722.6,760.0
2020-06-12,1732.0,1729.7,1746.9,1724.1,590.0
2020-06-15,1721.8,1733.2,1736.2,1701.0,650.0
2020-06-16,1731.5,1729.0,1735.5,1718.9,370.0
2020-06-17,1730.3,1730.6,1733.8,1714.4,360.0
2020-06-18,1726.0,1730.7,1742.1,1717.6,260.0
2020-06-19,1747.1,1726.3,1753.5,1726.3,1870.0
2020-06-22,1758.4,1755.5,1771.0,1747.4,1910.0
2020-06-23,1774.1,1759.3,1777.6,1751.7,1030.0
2020-06-24,1768.1,1777.3,1786.3,1765.0,1710.0
2020-06-25,1763.1,1760.7,1771.7,1760.4,480.0
2020-06-26,1773.3,1768.2,1778.5,1748.4,640.0
2020-06-29,1781.2,1789.2,1790.4,1776.5,130509.99999999999
2020-06-30,1800.5,1784.2,1804.0,1774.8,199420.0
2020-07-01,1779.9,1798.9,1807.7,1767.9,263250.0
2020-07-02,1790.0,1779.0,1791.7,1766.3,186310.0
2020-07-03,1793.5,1787.9,1799.0,1779.2,184650.0
2020-07-06,1793.5,1787.9,1799.0,1779.2,184650.0
2020-07-07,1809.9,1793.9,1810.8,1781.2,221730.0
2020-07-08,1820.6,1807.9,1829.8,1803.8,247500.0
2020-07-09,1803.8,1818.8,1825.5,1799.6,283370.0
2020-07-10,1801.9,1808.4,1817.0,1796.5,223830.0
2020-07-13,1814.1,1803.4,1818.8,1802.1,230400.0
2020-07-14,1813.4,1805.2,1815.0,1791.1,253210.0
2020-07-15,1813.8,1811.1,1819.5,1804.0,183060.0
2020-07-16,1800.3,1813.1,1816.2,1794.1,196570.0
2020-07-17,1810.0,1796.9,1813.9,1795.2,167010.0
2020-07-20,1817.4,1812.3,1823.4,1806.6,177740.0
2020-07-21,1843.9,1819.6,1844.9,1817.2,271090.0
2020-07-22,1865.1,1842.8,1871.8,1842.1,382230.0
2020-07-23,1890.0,1871.6,1897.7,1863.1,418750.0
2020-07-24,1897.5,1884.9,1904.6,1880.5,300170.0
2020-07-27,1931.0,1901.2,1941.9,1899.0,428230.0
2020-07-28,1944.6,1937.1,1974.7,1900.2,434450.0
2020-07-29,1953.4,1950.6,1974.9,1935.2,209840.0
2020-07-30,1949.5,1970.8,1971.1,1936.4,5710.0
2020-07-31,1968.0,1957.0,1985.7,1954.3,5170.0
2020-08-03,1969.5,1979.7,1992.1,1958.5,2820.0
2020-08-04,2004.2,1976.6,2020.5,1968.1,3910.0
2020-08-05,2032.9,2020.2,2053.5,2011.2,4750.0
2020-08-06,2054.6,2036.9,2065.1,2033.6,2610.0
2020-08-07,2014.3,2062.4,2074.0,2011.0,4370.0
2020-08-10,2027.3,2032.0,2047.3,2015.7,2550.0
2020-08-11,1935.7,2024.2,2027.0,1900.9,6160.0
2020-08-12,1937.5,1910.2,1948.7,1863.7,4160.0
2020-08-13,1959.3,1918.6,1963.5,1911.7,2500.0
2020-08-14,1938.8,1952.1,1958.3,1930.2,1260.0
2020-08-17,1987.1,1945.2,1988.6,1930.8,1770.0
2020-08-18,2001.6,1981.6,2013.0,1973.6,1700.0
2020-08-19,1960.5,2001.5,2003.0,1920.8,2830.0
2020-08-20,1935.4,1924.6,1951.5,1920.0,2070.0
2020-08-21,1936.0,1945.8,1950.4,1908.2,1730.0
2020-08-24,1928.6,1937.2,1959.2,1920.1,1410.0
2020-08-25,1912.5,1925.4,1932.9,1909.4,1660.0
2020-08-26,1941.7,1927.6,1952.6,1899.1,3290.0
2020-08-27,1922.3,1950.9,1973.8,1907.7,2300.0
2020-08-28,1966.8,1930.1,1974.9,1921.2,11760.0
2020-08-31,1970.5,1966.7,1977.7,1955.0,7160.0
2020-09-01,1970.8,1965.9,1992.5,1961.2,10950.0
2020-09-02,1936.9,1967.9,1972.4,1931.5,10840.0
2020-09-03,1930.2,1941.8,1948.4,1919.7,8940.0
